datetime,hour,sentiment,user_id,user_lang,user_location,tweet
2018-08-30 21:38:36-07:00,21,positive,487623589,en,Madrid Spain,RT Great week with a lot of open source metric miners (cc #OSSummit #chaos...
2018-08-30 21:38:06-07:00,21,positive,390171807,en,Hyderabad,RT #OSSummit has by far been the most passionately inclusive conference I have been to thus far From washroom signs to the abu...
2018-08-30 21:36:04-07:00,21,neutral,223867718,en,Urbandale IA,"RT ""#OSS development isn't free...it costs people's time effort and passion, writes #InfluxData #CTO in response to..."
2018-08-30 21:35:40-07:00,21,positive,11736872,en,Boston MA,RT I hear containers are hot right now :p #OSSummit
2018-08-30 21:35:25-07:00,21,positive,11736872,en,Boston MA,RT Just awesome people #OSSummit
2018-08-30 21:35:14-07:00,21,positive,11736872,en,Boston MA,RT #OSSummit has been such an amazing experience so far Everyone is so supportive in the open source community.
2018-08-30 21:34:16-07:00,21,neutral,1209499525,en,Porto Alegre Brazil,RT Compartiendo nuestras historias de #opensource Sharing our open source stories in Spanish Portuguese and English #OSS...
2018-08-30 21:31:03-07:00,21,positive,18050416,en,San Francisco CA,RT Nice look at the security entry points of via #OSSummit
2018-08-30 21:29:07-07:00,21,neutral,1209499525,en,Porto Alegre Brazil,RT The women in Open Source lunch at #OSSummit Over 100 in attendance
2018-08-30 21:27:03-07:00,21,neutral,1209499525,en,Porto Alegre Brazil,RT Laptop showdown at #OSSummit with Bring it on
2018-08-30 21:26:07-07:00,21,positive,187674850,en,none,RT [? happy to publish the results for the 1st survey on open source programs on behalf of the I expect this OSPO trend to...
2018-08-30 21:19:38-07:00,21,neutral,980820494101262336,en,Boulder CO,RT _dion #OSSummit with
2018-08-30 21:19:05-07:00,21,positive,16205348,en,Home,RT One workaround for upgrading #k8s Create a new cluster with the new version then migrate older clusters over With #BOSH...
2018-08-30 21:18:26-07:00,21,positive,30620663,en,Singapore,RT Why is tricky on day 2 &amp give 3 reasons: 1 Tracking managing status of new featur...
2018-08-30 21:16:35-07:00,21,positive,47547933,en,none,RT Thanks again to for being a Gold Sponsor and making #OSSummit possible
2018-08-30 21:15:43-07:00,21,positive,34722403,en,Bend OR,"RT [? we released a new open source program guide ""Setting an Open Source Strategy #OSSummit"
2018-08-30 21:11:37-07:00,21,neutral,40677549,en,+62,RT Alan Clark from keynoting now at #OSSummit about how Multimodal IT reduces footprints Increases application portabi...
2018-08-30 21:10:31-07:00,21,neutral,14639127,en,Minneapolis,RT Our #OSSummit slides on how we migrated hundreds of legacy applications to at Allianz are online now https:...
2018-08-30 21:09:33-07:00,21,neutral,2547412918,en,San Francisco,RT Our #OSSummit slides on how we migrated hundreds of legacy applications to at Allianz are online now https:...
2018-08-30 21:08:39-07:00,21,positive,47707747,en,Charlottesville VA USA,Thanks for a great 24 hours #OSSummit Vancouver Probably my favorite conference venue and getting to catch up with..
2018-08-30 21:05:25-07:00,21,positive,3219585769,en,#yeg,#OSSummit has been such an amazing experience so far Everyone is so supportive in the open source community.
2018-08-30 21:05:22-07:00,21,positive,884039770631938050,en,none,RT _inc Litmus+ +MayaOnline+Support #MDAP -&gt the first comprehensive solution for managing stateful workloads on Kuberne...
2018-08-30 21:05:00-07:00,21,positive,884039770631938050,en,none,RT Grab the Awesome Stickers and T-Shirts before it gets out of Stock Visit Booth no 4 soon _inc #OSSummit...
2018-08-30 21:03:27-07:00,21,positive,26073663,en,none,"RT ""The brawny people rule high school The brainy people rule everything else."" - at #OSSummit"
2018-08-30 21:02:01-07:00,21,positive,14706299,en,San Francisco CA,Thanks again to for being a Gold Sponsor and making #OSSummit possible
2018-08-30 21:00:10-07:00,21,positive,15751438,en,none,"RT ""Make it fun to do the right thing."" - from on #OpenSource diversity programs at #OSSummit"
2018-08-30 20:56:41-07:00,20,neutral,404051183,en,Seattle WA,RT Open source Come for the tech Stay for the people #OSSummit
2018-08-30 20:48:44-07:00,20,neutral,817415444999114752,en,Chicago IL,"RT ""We don't want to think about infrastructure We want to think about outcomes. #OSSummit"
2018-08-30 20:37:12-07:00,20,positive,31161424,en,San Francisco CA,"RT ""If we can harness this willingness to help people a lot of the challenges we see in natural disasters can be mitigate..."
2018-08-30 20:34:43-07:00,20,neutral,409742023,zh-cn,"Zhuhai,China",RT About to do my livestream interview with of at #OSSummit Check it out -&gt
2018-08-30 20:32:22-07:00,20,positive,12486322,en,West Coast Way Singapore,RT How Writing can Change Your Career for the Better ( in 1 da...
2018-08-30 20:31:52-07:00,20,positive,18183967,en,Boston MA,RT How Writing can Change Your Career for the Better ( in 1 da...
2018-08-30 20:28:58-07:00,20,positive,3072860014,en,Washington DC,RT During an #OSSummit breakout session of shares lessons learned from many #civictech projects w gove...
2018-08-30 20:26:17-07:00,20,neutral,20015389,en,Austin TX,Amusement as we wait for dinner...OH _silveyra I don't like putting things in my mouth that move #OSSummit
2018-08-30 20:24:31-07:00,20,positive,211775434,en,El salvador,Just awesome people #OSSummit
2018-08-30 20:23:25-07:00,20,neutral,24690628,en,Stuttgart Germany,RT Our #OSSummit slides on how we migrated hundreds of legacy applications to at Allianz are online now https:...
2018-08-30 20:23:07-07:00,20,positive,980820494101262336,en,Boulder CO,"RT ""If we can harness this willingness to help people a lot of the challenges we see in natural disasters can be mitigate..."
2018-08-30 20:21:57-07:00,20,positive,16037334,en,Vito Cruz Manila Filipinas,"RT ""We don't know the right way but we can experiment at #OSSummit"
2018-08-30 20:20:18-07:00,20,neutral,14475559,en,Ohio and various other places,It wouldn't be #OSSummit without some containers
2018-08-30 20:20:15-07:00,20,positive,11850752,en,Concord CA USA,RT _man #OSSummit day 2 I need to be at like 3 different places at once all day because there are so many interesting talks schedule...
2018-08-30 20:20:13-07:00,20,positive,3400191081,en,none,I hear containers are hot right now :p #OSSummit
2018-08-30 20:17:29-07:00,20,neutral,776248643514953728,en,Philadelphia PA,RT #ICYMI joined this morning from the #OSSummit keynote stage to announce Google Cloud's $9M dona...
2018-08-30 20:17:10-07:00,20,positive,776248643514953728,en,Philadelphia PA,"RT [? we released a new open source program guide ""Setting an Open Source Strategy #OSSummit"
2018-08-30 20:14:51-07:00,20,neutral,12486322,en,West Coast Way Singapore,RT Containers at #OSSummit
2018-08-30 20:12:37-07:00,20,neutral,2648921,en,"GPS 37.980782,-84.555763",Containers at #OSSummit
2018-08-30 20:11:44-07:00,20,neutral,12486322,en,West Coast Way Singapore,"RT ""If you care about a global community don't use Google Docs for your open source project. - at #OSSummit https:/..."
2018-08-30 20:11:11-07:00,20,positive,12486322,en,West Coast Way Singapore,RT Great conversations around the #RedHat booth at #OSSummit #Vancouver Come talk #opensource ...
2018-08-30 20:10:55-07:00,20,positive,12486322,en,West Coast Way Singapore,"RT ""Make it fun to do the right thing."" - from on #OpenSource diversity programs at #OSSummit"
2018-08-30 20:10:44-07:00,20,positive,12486322,en,West Coast Way Singapore,RT One of the best conference views ever #OSSummit #Vancouver
2018-08-30 20:10:42-07:00,20,neutral,212537881,en,Toronto Canada,RT Our #OSSummit slides on how we migrated hundreds of legacy applications to at Allianz are online now https:...
2018-08-30 20:09:48-07:00,20,positive,14566379,en,Vancouver British Columbia,"RT ""We don't know the right way but we can experiment at #OSSummit"
2018-08-30 20:09:24-07:00,20,negative,32439614,en,Lexington Ky,RT Team dinner...or at least #beer #OSSummit
2018-08-30 20:06:50-07:00,20,negative,12486322,en,West Coast Way Singapore,RT Meta meta something or other #OSSummit
2018-08-30 20:06:45-07:00,20,neutral,12486322,en,West Coast Way Singapore,RT Meta-meta-meta-photo We're geeks not nerds #OSSummit
2018-08-30 20:06:43-07:00,20,neutral,12486322,en,West Coast Way Singapore,RT Meta-meta-meta-meta-photo #OSSummit
2018-08-30 20:05:31-07:00,20,positive,12486322,en,West Coast Way Singapore,RT Setting high standards at and #OSSummit
2018-08-30 20:05:11-07:00,20,neutral,12486322,en,West Coast Way Singapore,RT Laptop showdown at #OSSummit with Bring it on
2018-08-30 20:03:15-07:00,20,negative,2023311,en,Lakewood Ranch FL,RT Team dinner...or at least #beer #OSSummit
2018-08-30 20:01:49-07:00,20,neutral,7553942,en,Denver CO,RT I wonder if they're trying to tell us something.. #OSSummit
2018-08-30 20:01:40-07:00,20,positive,2348311765,en,none,RT This is cool devs built a new rootless container tool called Stacker #OSSummit
2018-08-30 19:59:11-07:00,19,negative,20015389,en,Austin TX,Team dinner...or at least #beer #OSSummit
2018-08-30 19:58:28-07:00,19,positive,4874289952,en,Cambridge MA,More hats #OSSummit
2018-08-30 19:55:22-07:00,19,positive,514150133,en,Thailand Nova Scotia,"RT ""The brawny people rule high school The brainy people rule everything else."" - at #OSSummit"
2018-08-30 19:54:51-07:00,19,neutral,211775434,en,El salvador,It was a pleasure to meet you two fue un placer conocerlos a ambos #OSSummit
2018-08-30 19:54:35-07:00,19,positive,1016875595857387520,en,Geneva New York,During an #OSSummit breakout session of shares lessons learned from many #civictech projects..
2018-08-30 19:54:12-07:00,19,neutral,15594928,en,"san francisco,ca",Boat [?] #OSSummit
2018-08-30 19:54:07-07:00,19,positive,3107938236,en,United States,Thrilled to have been part of this awesome event #OSSummit
2018-08-30 19:49:09-07:00,19,neutral,4874289952,en,Cambridge MA,Hat at #OSSummit
2018-08-30 19:45:29-07:00,19,positive,47547933,en,none,Presented a talk at #OSSummit Got feedback on our systems Talked to some awesome developers about documentat..
2018-08-30 19:45:23-07:00,19,positive,7553942,en,Denver CO,RT Similarly This year I'm really enjoying reading about #OSSummit from Ireland where I'm taking 2 months off to help friend...
2018-08-30 19:43:56-07:00,19,neutral,2891322620,en,Portland OR,Compartiendo nuestras historias de #opensource Sharing our open source stories in Spanish Portuguese and Englis..
2018-08-30 19:41:13-07:00,19,positive,910513808,ru,none,"RT ""We should raise our standards for what constitutes a professional software developer in terms of baseline security prac..."
2018-08-30 19:40:07-07:00,19,positive,7553942,en,Denver CO,"RT ""Make it fun to do the right thing."" - from on #OpenSource diversity programs at #OSSummit"
2018-08-30 19:36:41-07:00,19,positive,634702468,en,North Aurora Illinois,RT Together with and we are bringing the first ever #opensource project launched on z/OS Join...
2018-08-30 19:36:01-07:00,19,positive,67064188,en,SANTIAGO,RT Great week with a lot of open source metric miners (cc #OSSummit #chaos...
2018-08-30 19:35:30-07:00,19,positive,7795092,en,US,RT Had a really awesome time chatting with at the #OSSummit for I will think about this con...
2018-08-30 19:34:18-07:00,19,neutral,634702468,en,North Aurora Illinois,RT Join the next generation of z/OS user experience #OSSummit #opensource #Zowe
2018-08-30 19:34:18-07:00,19,positive,407568152,en,none,Went on a seaplane tour in Vancouver with courtesy of They win swag of the year for s..
2018-08-30 19:32:45-07:00,19,neutral,78687973,es,none,"RT If you are at #OSSummit be on the lookout for Pineheads hiding around the expo Find the Pinehead holding a diploma,..."
2018-08-30 19:31:44-07:00,19,positive,803962096832643072,en,Atlanta GA,"RT ""The brawny people rule high school The brainy people rule everything else."" - at #OSSummit"
2018-08-30 19:31:06-07:00,19,positive,109086082,en,none,RT [? happy to publish the results for the 1st survey on open source programs on behalf of the I expect this OSPO trend to...
2018-08-30 19:29:50-07:00,19,neutral,408847389,en,Palo Alto CA,Meta-meta-meta-meta-photo #OSSummit
2018-08-30 19:28:29-07:00,19,positive,305749540,en,Greater Boston Area,RT NEW Podcast gives her thoughts on the latest #OpenSource trends and how enterprises struggle to adopt open sour...
